# Wavelength(micron) (rp/rs)^2 Error_bars
5.036189950815769478e+00 1.051692140054919650e-02 1.000000000000000082e-05
5.018808219708088991e+00 1.051553395239105543e-02 1.000000000000000082e-05
5.001486479303549615e+00 1.051705727157098598e-02 1.000000000000000082e-05
4.984224522552318959e+00 1.051623466012166323e-02 1.000000000000000082e-05
4.967022143119177002e+00 1.051854353650637751e-02 1.000000000000000082e-05
4.949879135381031858e+00 1.052042201324846632e-02 1.000000000000000082e-05
4.932795294424482613e+00 1.052054803331587199e-02 1.000000000000000082e-05
4.915770416043351076e+00 1.052412256404103123e-02 1.000000000000000082e-05
4.898804296736249064e+00 1.052784672692843974e-02 1.000000000000000082e-05
4.881896733704154556e+00 1.053067044701122730e-02 1.000000000000000082e-05
4.865047524847968319e+00 1.053417049059609395e-02 1.000000000000000082e-05
4.848256468766119376e+00 1.053947769791436020e-02 1.000000000000000082e-05
4.831523364752136729e+00 1.053991571759164275e-02 1.000000000000000082e-05
4.814848012792269927e+00 1.054908525556131661e-02 1.000000000000000082e-05
4.798230213563083879e+00 1.055291552368668902e-02 1.000000000000000082e-05
4.781669768429078538e+00 1.056240289648422044e-02 1.000000000000000082e-05
4.765166479440327230e+00 1.056460886523752189e-02 1.000000000000000082e-05
4.748720149330090123e+00 1.057760947144332012e-02 1.000000000000000082e-05
4.732330581512477430e+00 1.058345784999331282e-02 1.000000000000000082e-05
4.715997580080079743e+00 1.059720339022235738e-02 1.000000000000000082e-05
4.699720949801637460e+00 1.061137262067017757e-02 1.000000000000000082e-05
4.683500496119711975e+00 1.062815105836388205e-02 1.000000000000000082e-05
4.667336025148345335e+00 1.064695346209058174e-02 1.000000000000000082e-05
4.651227343670758074e+00 1.066148740976466565e-02 1.000000000000000082e-05
4.635174259137026631e+00 1.068418496917927958e-02 1.000000000000000082e-05
4.619176579661787407e+00 1.070049523217929920e-02 1.000000000000000082e-05
4.603234114021949708e+00 1.072050043752881265e-02 1.000000000000000082e-05
4.587346671654395358e+00 1.074383122570365078e-02 1.000000000000000082e-05
4.571514062653718291e+00 1.077204239533266668e-02 1.000000000000000082e-05
4.555736097769936599e+00 1.077205959856214132e-02 1.000000000000000082e-05
4.540012588406241001e+00 1.080388357932585836e-02 1.000000000000000082e-05
4.524343346616745087e+00 1.081884823362237735e-02 1.000000000000000082e-05
4.508728185104224018e+00 1.084813926838607348e-02 1.000000000000000082e-05
4.493166917217891410e+00 1.085698556942888207e-02 1.000000000000000082e-05
4.477659356951154912e+00 1.087918302701222813e-02 1.000000000000000082e-05
4.462205318939400200e+00 1.087233279582460084e-02 1.000000000000000082e-05
4.446804618457779412e+00 1.090395023476603900e-02 1.000000000000000082e-05
4.431457071418988036e+00 1.093355303956564280e-02 1.000000000000000082e-05
4.416162494371083547e+00 1.093586562434137842e-02 1.000000000000000082e-05
4.400920704495277391e+00 1.092964980265957904e-02 1.000000000000000082e-05
4.385731519603754514e+00 1.090611548629720658e-02 1.000000000000000082e-05
4.370594758137503533e+00 1.093920363124075562e-02 1.000000000000000082e-05
4.355510239164130049e+00 1.094184720179760921e-02 1.000000000000000082e-05
4.340477782375712579e+00 1.096159589022304391e-02 1.000000000000000082e-05
4.325497208086632739e+00 1.092668071655549140e-02 1.000000000000000082e-05
4.310568337231430291e+00 1.097444208464230971e-02 1.000000000000000082e-05
4.295690991362675071e+00 1.095120705397898894e-02 1.000000000000000082e-05
4.280864992648813150e+00 1.091755216695243155e-02 1.000000000000000082e-05
4.266090163872060970e+00 1.089496089802056457e-02 1.000000000000000082e-05
4.251366328426272823e+00 1.088859467418993449e-02 1.000000000000000082e-05
4.236693310314834982e+00 1.084786497718790918e-02 1.000000000000000082e-05
4.222070934148567822e+00 1.079751692612245136e-02 1.000000000000000082e-05
4.207499025143618177e+00 1.073505875556489929e-02 1.000000000000000082e-05
4.192977409119380106e+00 1.067945715719782404e-02 1.000000000000000082e-05
4.178505912496405017e+00 1.064569166622675311e-02 1.000000000000000082e-05
4.164084362294330433e+00 1.048479707873239096e-02 1.000000000000000082e-05
4.149712586129816749e+00 1.048127722336726804e-02 1.000000000000000082e-05
4.135390412214476008e+00 1.047903562661863658e-02 1.000000000000000082e-05
4.121117669352831747e+00 1.047877284139203322e-02 1.000000000000000082e-05
4.106894186940259317e+00 1.047788806477766531e-02 1.000000000000000082e-05
4.092719794960954616e+00 1.047583244495258956e-02 1.000000000000000082e-05
4.078594323985903713e+00 1.047657480781138094e-02 1.000000000000000082e-05
4.064517605170847148e+00 1.047522570757472744e-02 1.000000000000000082e-05
4.050489470254278856e+00 1.047455490787832337e-02 1.000000000000000082e-05
4.036509751555414915e+00 1.047200653047479675e-02 1.000000000000000082e-05
4.022578281972201353e+00 1.047092692002685003e-02 1.000000000000000082e-05
4.008694894979320189e+00 1.047037690889742259e-02 1.000000000000000082e-05
3.994859424626184374e+00 1.046957593960856289e-02 1.000000000000000082e-05
3.981071705534972249e+00 1.046901816004081401e-02 1.000000000000000082e-05
3.967331572898633141e+00 1.046841871678120400e-02 1.000000000000000082e-05
3.953638862478929816e+00 1.046792111973578882e-02 1.000000000000000082e-05
3.939993410604472501e+00 1.046745662377737522e-02 1.000000000000000082e-05
3.926395054168756449e+00 1.046699025252068385e-02 1.000000000000000082e-05
3.912843630628221270e+00 1.046654849499016257e-02 1.000000000000000082e-05
3.899338978000302269e+00 1.046612866655568380e-02 1.000000000000000082e-05
3.885880934861495994e+00 1.046571986184228684e-02 1.000000000000000082e-05
3.872469340345429778e+00 1.046532122320634021e-02 1.000000000000000082e-05
3.859104034140941497e+00 1.046494075902433367e-02 1.000000000000000082e-05
3.845784856490157555e+00 1.046457164953606099e-02 1.000000000000000082e-05
3.832511648186592179e+00 1.046421370621376280e-02 1.000000000000000082e-05
3.819284250573234285e+00 1.046387264094433486e-02 1.000000000000000082e-05
3.806102505540659653e+00 1.046353759476112595e-02 1.000000000000000082e-05
3.792966255525137775e+00 1.046322234155499555e-02 1.000000000000000082e-05
3.779875343506744478e+00 1.046292123233008402e-02 1.000000000000000082e-05
3.766829613007490973e+00 1.046263007890720770e-02 1.000000000000000082e-05
3.753828908089452021e+00 1.046235908186059389e-02 1.000000000000000082e-05
3.740873073352900313e+00 1.046209669980085674e-02 1.000000000000000082e-05
3.727961953934450179e+00 1.046184962664616774e-02 1.000000000000000082e-05
3.715095395505203513e+00 1.046161833719594370e-02 1.000000000000000082e-05
3.702273244268911245e+00 1.046140691641994636e-02 1.000000000000000082e-05
3.689495346960128597e+00 1.046121363940135177e-02 1.000000000000000082e-05
3.676761550842388093e+00 1.046104064305753735e-02 1.000000000000000082e-05
3.664071703706370364e+00 1.046088634127948121e-02 1.000000000000000082e-05
3.651425653868084709e+00 1.046075647013330195e-02 1.000000000000000082e-05
3.638823250167060319e+00 1.046064866203485350e-02 1.000000000000000082e-05
3.626264341964533511e+00 1.046056890740487688e-02 1.000000000000000082e-05
3.613748779141651823e+00 1.046051008339913234e-02 1.000000000000000082e-05
3.601276412097677682e+00 1.046048141840845262e-02 1.000000000000000082e-05
3.588847091748198714e+00 1.046047823466431277e-02 1.000000000000000082e-05
3.576460669523348734e+00 1.046050459460172617e-02 1.000000000000000082e-05
3.564116997366029604e+00 1.046055649330996165e-02 1.000000000000000082e-05
3.551815927730143763e+00 1.046063347553390782e-02 1.000000000000000082e-05
3.539557313578828968e+00 1.046074155745311748e-02 1.000000000000000082e-05
3.527341008382697485e+00 1.046088224644095392e-02 1.000000000000000082e-05
3.515166866118092592e+00 1.046103611920902801e-02 1.000000000000000082e-05
3.503034741265336205e+00 1.046122688326697921e-02 1.000000000000000082e-05
3.490944488806991153e+00 1.046144318033489368e-02 1.000000000000000082e-05
3.478895964226131898e+00 1.046169348470508270e-02 1.000000000000000082e-05
3.466889023504608147e+00 1.046197336748760573e-02 1.000000000000000082e-05
3.454923523121333773e+00 1.046228282119388876e-02 1.000000000000000082e-05
3.442999320050563750e+00 1.046262246802375472e-02 1.000000000000000082e-05
3.431116271760187963e+00 1.046298181680345267e-02 1.000000000000000082e-05
3.419274236210027684e+00 1.046337424420876010e-02 1.000000000000000082e-05
3.407473071850133373e+00 1.046379950742704068e-02 1.000000000000000082e-05
3.395712637619098917e+00 1.046425753008588429e-02 1.000000000000000082e-05
3.383992792942372763e+00 1.046474823983673322e-02 1.000000000000000082e-05
3.372313397730576146e+00 1.046525762830769271e-02 1.000000000000000082e-05
3.360674312377830653e+00 1.046578817823455750e-02 1.000000000000000082e-05
3.349075397760089334e+00 1.046634754522404211e-02 1.000000000000000082e-05
